year,month,file_name,file_path,file_size_bytes,checksum_sha256,download_timestamp,row_count_estimate,status,error_message
2024,6,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_6.zip,data\raw\ontime\year=2024\month=06\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_6.zip,31226761,4f329439fd6892aaf89b32908191b2a007e70f775e2551181a22e704ef28a0ab,2026-06-17T19:21:51.481682,611132,extracted,
2024,7,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_7.zip,data\raw\ontime\year=2024\month=07\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_7.zip,34427174,4d992fee134137b3fa43094d7e8cf4a8e6feaa6a422cffb4063f1ed6c7f3f731,2026-06-17T19:25:14.890407,634613,extracted,
2024,8,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_8.zip,data\raw\ontime\year=2024\month=08\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_8.zip,30854511,58d651379af90cc44635657e95fe098567ff954046aec21d6d2cd18424a317f9,2026-06-17T19:28:48.860982,619025,extracted,
2024,9,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_9.zip,data\raw\ontime\year=2024\month=09\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_9.zip,28433978,c0df7503b0050ca46099dab1edfffa33464a0a1031ad712c542af6a4ecece24c,2026-06-17T19:32:34.596196,582622,extracted,
2024,10,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_10.zip,data\raw\ontime\year=2024\month=10\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_10.zip,29418453,a417136d6c1663736437dfeeacefa5b93b82e9db322c863c2f57b19bdd3f04fb,2026-06-17T19:35:34.097504,615497,extracted,
2024,11,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_11.zip,data\raw\ontime\year=2024\month=11\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_11.zip,28149354,26b6e89e7c1f66163a412380c743c648eb470a9017074de4efbd209f1e09860a,2026-06-17T19:37:50.741969,575404,extracted,
2024,12,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_12.zip,data\raw\ontime\year=2024\month=12\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_12.zip,30150370,a324577aa76d1f0aa36239f8010b6b5270fea0ff5ac846177753b76a42c5d01c,2026-06-17T19:40:08.752810,590581,extracted,
2025,1,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_1.zip,data\raw\ontime\year=2025\month=01\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_1.zip,27108664,868387dcedaef1b8d8392e608e642219fde50d594c3cf2094aec858167629ccf,2026-06-17T11:51:13.995230,539747,extracted,
2025,2,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_2.zip,data\raw\ontime\year=2025\month=02\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_2.zip,25302583,12dc8dbdb3c8b3c20d4c00a8b188196ae202f781a8760871ae502a9c733d0ecd,2026-06-17T19:43:08.146491,504884,extracted,
2025,3,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_3.zip,data\raw\ontime\year=2025\month=03\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_3.zip,30544825,9c80fbc2112cdbf3f0613ec2001ba019b3ad75511cd69657080736e7eda9cef4,2026-06-17T19:46:09.865367,600872,extracted,
2025,4,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_4.zip,data\raw\ontime\year=2025\month=04\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_4.zip,29369186,f3718431e988e2afd53a1714dfca37f67355b6fc06b02eb506bffa39300d608c,2026-06-17T19:49:23.338066,583950,extracted,
2025,5,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_5.zip,data\raw\ontime\year=2025\month=05\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_5.zip,30830593,17c3419d7169b313b2bc8ddd3fd57e1e2d4d959c35f2da17f6a5610d4bac7d63,2026-06-17T19:52:03.397136,605648,extracted,
2025,6,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_6.zip,data\raw\ontime\year=2025\month=06\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_6.zip,31131411,087b75e4e059516ca1181e58955d062f341933adb2706e5b2404ed10c9ecbdc6,2026-06-17T19:55:39.193498,611575,extracted,
2025,7,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_7.zip,data\raw\ontime\year=2025\month=07\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_7.zip,32208704,74309a3a734d5104b4c212390c06eb3acacff15124b9cea49ba7d69a609a0d19,2026-06-17T19:58:56.901476,631428,extracted,
2025,8,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_8.zip,data\raw\ontime\year=2025\month=08\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_8.zip,30864245,405668b8a807266236a635efbc1e9364abfb756db1a5c895e45abc9c7b7684f1,2026-06-17T20:01:50.776777,602378,extracted,
2025,9,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_9.zip,data\raw\ontime\year=2025\month=09\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_9.zip,28151630,adc722b1c14944451b20ddcdbeec69bbc092310ab8044f758b8f4b82fde8d017,2026-06-17T20:04:56.242651,562439,extracted,
2025,10,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_10.zip,data\raw\ontime\year=2025\month=10\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_10.zip,30723803,05d14d3fd67fa3e04b97c4d6bc7386f4a6c1cda13d2506cf0e9f0a6c620ed111,2026-06-17T20:07:23.547336,605844,extracted,
2025,11,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_11.zip,data\raw\ontime\year=2025\month=11\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_11.zip,28847755,6d5b68eea3ebb25f3cb2843e701a6c809b5455301b3bbd7802a20d522ed770c8,2026-06-17T20:10:58.240725,570550,extracted,
2025,12,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_12.zip,data\raw\ontime\year=2025\month=12\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2025_12.zip,30337431,a2af96d186bc9997fef47382b8589198281c9a722286d88f30032af8ee7dcd0f,2026-06-17T20:13:43.416861,582304,extracted,
